职位,公司名称,薪资范围,城市,经验要求,学历要求,领域,公司性质,规模,标签
IT体系高级审核员,SGS通标标准技术服务有限公司苏州分公司,2.2-2.5万,苏州,4年及以上,本科,检测，认证,合资,150-500人,"['CISSP', 'CISA', 'CISP', 'ITIL', 'EXIN', 'CACSP', 'CBCP', '专业培训', '五险一金', '年终奖金', '做五休二', '定期体检', '餐饮补贴', '带薪年假', '员工旅游', '培训', '圣诞假期']"
流程管理专家(J10876),苏州迈为科技股份有限公司,2-3万,苏州,8年及以上,本科,仪器仪表/工业自动化,已上市,5000-10000人,"['流程优化', '流程再造', '流程框架', '五险一金', '绩效奖金', '年终奖金', '方案', '培训', '股票期权']"
IT系统经理,苏州赛伍应用技术股份有限公司,2-2.5万,苏州,5年及以上,本科,石油/化工/矿产/地质,已上市,500-1000人,"['计算机', '数据库', '测试', '项目管理', '开发', '网络', '运维', '软件工程', 'it', '维护', '系统培训']"
IT工程师,苏州南医大创新中心,1.5-2万,苏州,3年及以上,本科,学术/科研,事业单位,少于50人,"['开发', '代码', '编写', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '定期体检', '年终奖金', '绩效奖金']"
IT工程师,前锦网络信息技术（上海）有限公司,1.2-2万,太仓,5年及以上,大专,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,"['ERP上线实施', '英语流利', 'SAP系统操作', 'Teams', 'SAP证书', 'Microsoft', '数据分析可视', '五险一金', '周末双休', '包吃']"
流程管理经理(J10875),苏州迈为科技股份有限公司,2-3万,苏州,8年及以上,本科,仪器仪表/工业自动化,已上市,5000-10000人,"['流程', '流程优化', '流程梳理', '五险一金', '绩效奖金', '年终奖金', '方案', '培训', '股票期权']"
erp软件开发工程师,苏州赛伍应用技术股份有限公司,1.5-2万,苏州,3年及以上,本科,石油/化工/矿产/地质,已上市,500-1000人,"['五险一金', '餐饮补贴', '绩效奖金', '免费班车', '员工旅游', '专业培训', '出国机会', '年终奖金', '股票期权', '定期体检']"
平台产品经理,深圳市汇川技术股份有限公司,2-3万,苏州,5年及以上,本科,仪器仪表/工业自动化,已上市,10000人以上,"['计算机', '软件开发', '研发', '技术交流', '信息管理', '系统集成', '产品管理', '数据治理', '数据建模', '数据安全', '方案']"
MES项目经理,浙江中之杰智能系统有限公司,1.5-2.5万·13薪,苏州,5-7年,本科,电子技术/半导体/集成电路,民营,150-500人,"['MES', '项目管理', '实施', '项目经理', 'WMS', '五险一金', '交通补贴', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '股票期权']"
软件项目经理,无锡晓枫汽车技术股份有限公司,1.3-2.5万,上海,3年及以上,本科,汽车,民营,50-150人,"['计算机', '测试', '开发', '需求调研', '软件工程', '咨询服务', '产品设计', 'axure', 'xmind', '维护', '五险一金', '员工旅游', '年终奖金', '专业培训']"
软件经理,苏州工业园区文鼎科技有限公司,2.5-4万,苏州,10年及以上,本科,仪器仪表/工业自动化,民营,150-500人,"['新能源', '方案', '发展空间', '培训']"
it解决方案经理,中软国际科技服务有限公司,1.5-2万,苏州,5年及以上,本科,计算机软件,合资,10000人以上,"['it解决方案', 'mes解决方案', '项目管理', '需求分析', '方案']"
Staff Automation Engineer,贝克曼库尔特商贸（中国）有限公司,3-4.5万·15薪,苏州,10年及以上,本科,医疗设备/器械,外资（欧美）,500-1000人,"['数字化', '五险一金', '年终奖金', '绩效奖金', '专业培训', '餐饮补贴', '通讯补贴', '交通补贴', '补充医疗保险', '弹性工作', '补充公积金']"
FR交付经理,苏州盖雅信息技术有限公司,1.8-2.5万,苏州,5年及以上,本科,计算机软件,合资,500-1000人,"['人力资源系统', '五险一金', '年终奖金', '定期体检', '员工旅游', '通讯补贴', '弹性工作']"
流程实施顾问,沃太能源股份有限公司,2-2.2万·14薪,南通,5年及以上,本科,新能源,民营,500-1000人,"['销售', '流程优化', '项目规划', '分析', '流程管理', 'SAP', 'CRM', '五险一金', '交通补贴', '餐饮补贴', '专业培训', '方案']"
IT流程管理工程师,新大洲本田摩托（苏州）有限公司,1.5-2万·14薪,苏州,5年及以上,本科,机械/设备/重工,合资,1000-5000人,"['项目管理', '五险一金', '年终奖金', '定期体检', '餐饮补贴', '员工旅游', '节日福利', '带薪年假', '周末双休', '免费班车', '包住宿']"
销售总监 Sales Director,安华迪电气科技（苏州）有限公司,3-5万·13薪,苏州,10年及以上,本科,电子技术/半导体/集成电路,合资,少于50人,"['销售总监', 'Sales', 'director', '销售副总', '线束', 'EMS', '全职', '佣金', '方案', '五险一金', '员工旅游', '年终奖金', '绩效奖金', '定期体检']"
工程商务总监,信息产业电子第十一设计研究院科技工程股份有限公司上海分院,1.5-3万,苏州,8年及以上,本科,建筑/建材/工程,国企,1000-5000人,"['cad', 'excel', 'word', '招投标', '造价', '测算', '项目预决算', '办公用软件', '招标文档', '新点']"
供应链数字化经理,追觅科技（苏州）有限公司,2.5-4万·15薪,苏州,5年及以上,本科,家具/家电/玩具/礼品,民营,1000-5000人,"['五险一金', '年终奖金', '定期体检', '绩效奖金', '带薪年假', '餐饮补贴', '节日福利', '员工旅游', '补充医疗保险', '周末双休', '免费班车']"
运营经理/总监,无锡先导智能装备股份有限公司,3-5万·16薪,无锡,7年及以上,本科,仪器仪表/工业自动化,已上市,10000人以上,"['战略规划', '转型变革', '营运管理', '精益管理', '流程管理', '持续发展', '方案', '五险一金', '餐饮补贴', '专业培训', '年终奖金', '弹性工作', '定期体检', '员工活动丰富']"
高级IT,苏州万欣华智能科技有限公司,1.5-2万,苏州,3-4年,大专,机械/设备/重工,民营,150-500人,"['带薪年假', '五险', '节日福利', '绩效奖金']"
ERP项目经理,苏州诚普信息技术有限公司,1-1.6万·13薪,苏州,3年,本科,计算机软件,民营,少于50人,"['五险一金', '交通补贴', '员工旅游', '绩效奖金', '年终奖金', '弹性工作']"
运维工程师(J10094),苏州精控能源科技股份有限公司,1.5-2.5万·14薪,苏州,5年及以上,本科,新能源,合资,150-500人,"['运维', 'k8s', 'docker', '年终奖金', '员工旅游', '年度调薪', '五险一金', '周末双休', '生日福利', '加班补贴', '季度福利']"
质量总监,玏芯科技（苏州）有限公司,4-6万·14薪,苏州,5年及以上,本科,电子技术/半导体/集成电路,民营,50-150人,"['芯片质量控制', 'IPD', 'APQP', 'FMEA', 'PPAP', 'JEDEC', 'QSA', 'QPA', '半导体芯片', 'ISO质量体系', '五险一金', '弹性工作', '绩效奖金', '年终奖金', '专业培训', '定期体检', '股票期权']"
产品经理/主管,天顺风能（苏州）股份有限公司,1.8-2.2万·15薪,太仓,5年及以上,本科,机械/设备/重工,已上市,1000-5000人,"['五险一金', '年终奖金', '定期体检', '餐饮补贴', '通讯补贴', '节日福利', '带薪年假', '周末双休']"
运营专员（三方）,苏州汇川联合动力系统股份有限公司,1.5-2.5万,苏州,4年及以上,本科,汽车零配件,民营,5000-10000人,"['项目管理', '汽车', '运营管理', 'pmp', '项目运营', 'ipd', '业务运营管理', 'ltc', '项目管理平台', '项目绩效', '五险一金', '补充医疗保险', '交通补贴', '通讯补贴', '餐饮补贴', '绩效奖金', '年终奖金', '股票期权', '定期体检', '专业培训']"
ERP管理,苏州万欣华智能科技有限公司,1.2-2万,苏州,3-4年,大专,机械/设备/重工,民营,150-500人,"['节日福利', '专业培训', '包吃', '周末双休', '五险一金']"
PLM工程师(J10407),苏州东山精密制造股份有限公司,1.3-2万,苏州,3年及以上,本科,电子技术/半导体/集成电路,已上市,5000-10000人,"['plm', '生产制造', '汽车零部件', '业务流程', '项目实施', '生产系统', '系统培训', '五险一金', '餐饮补贴', '免费班车', '专业培训', '年终奖金', '员工宿舍', '方案', '培训']"
it工程师,苏州中锐投资集团有限公司,8千-1.2万,苏州,3年及以上,本科,房地产,民营,50-150人,"['计算机', 'oracle', '数据库', '运营', '项目管理', 'sql', '维护', '设备维护', '网络安全', '防火墙']"
ERP经理(J10673),浙江水晶光电科技股份有限公司,2-4万·15薪,台州,8年及以上,本科,电子技术/半导体/集成电路,已上市,5000-10000人,"['电子制造行业', '五险一金', '年终奖金', '做五休二', '管理培训']"
SAP 开发（ABAP/Fiori）内部顾问（中高级）(J10892),苏州迈为科技股份有限公司,1.8-2.5万·13薪,苏州,5年,本科,仪器仪表/工业自动化,已上市,5000-10000人,"['sap', '系统开发', 'abap', '五险一金', '绩效奖金', '年终奖金']"
网络管理岗（保险金融）,前锦网络信息技术（上海）有限公司,8千-1.5万,苏州,1年及以上,本科,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,"['网络规划', '网络故障']"
IT专员（常驻南通，入职前半年在苏州）,苏州运宏电子有限公司,6-8千,苏州,3年及以上,大专,电子技术/半导体/集成电路,合资,500-1000人,"['培训', '计算机', '电子', 'erp', '通信', 'windows', '网络', 'oa', 'it', '服务器', '五险一金', '专业培训', '全勤奖', '节日福利', '绩效奖金']"
IT技术支持,昆山梦燃电气设备科技有限公司,8千-1万,苏州,无需经验,中技/中专,服装/纺织/皮革,民营,少于50人,"['办公软件', 'linux', 'windows', '网络', '操作系统', '服务质量', '网络连接', '五险一金', '补充公积金', '年终奖金', '带薪年假']"
it工程师,前锦网络信息技术（上海）有限公司,1-1.5万·13薪,太仓,3年及以上,大专,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,"['培训', '英语', 'sap', '英文', '二次开发', 'sap系统', 'microsoft', '办公流程', 'teams', '五险一金', '周末双休']"
运维主管,苏州万丽织造有限公司,8千-1.3万,苏州,3年及以上,本科,服装/纺织/皮革,民营,10000人以上,"['计算机', '管理', '安装', 'it', '维护', '网络设备', '弱电', '打印机', '计算机软硬件', '运维手册', '五险一金', '年终奖金', '绩效奖金', '专业培训', '带薪年假', '节日福利', '周末双休', '免费班车', '做五休二', '免费食宿']"
IT技术支持,南京萨茄勒教育科技有限公司,7-9千·13薪,苏州,无需经验,,电子技术/半导体/集成电路,民营,少于50人,"['办公软件', 'linux', '项目实施', 'windows', '网络', 'tcp', '硬件', '技术文档编写', '计算机科学', 'ip协议', '年终奖金', '绩效奖金', '节日福利', '定期团建']"
信息安全主管(J10645),全亿健康药房有限公司,1-1.5万,苏州,5年及以上,本科,批发/零售,外资（欧美）,10000人以上,"['漏洞扫描', '渗透测试', '信息安全防范', '应急响应', '信息安全', '计算机', 'cisp', 'cissp', '培训', '方案']"
OA工程师,益而益（集团）有限公司,1-1.5万·13薪,苏州,8-9年,本科,家具/家电/玩具/礼品,民营,1000-5000人,"['oa系统', '年终奖金', '免费班车', '节日福利', '周末双休', '包住宿', '五险一金', '提供食宿']"
军工渠道销售总监,煜程人力咨询（苏州）有限公司,3-4万,北京,8年及以上,本科,计算机软件,外资（欧美）,,[]
产品经理（MES）,苏州首拓信息科技有限公司,1.2-2万,苏州,3年及以上,本科,计算机软件,民营,50-150人,"['五险一金', '专业培训', '绩效奖金', '弹性工作']"
IT系统工程师,江苏怡有合顺智能科技有限公司,9千-1.5万·13薪,苏州,3年及以上,大专,计算机服务(系统、数据服务、维修),民营,50-150人,"['Vmware', '虚拟化工程师', '乙方工作经验', 'Linux', 'citrix', '存储设备', '故障处理', '服务器', '运维', '项目实施', '五险一金', '年终奖金', '绩效奖金', '专业培训', '餐饮补贴', '员工旅游', '通讯补贴', '交通补贴', '股票期权']"
中台系统咨询顾问,博世（中国）投资有限公司,2-2.5万·13薪,苏州,3年及以上,本科,汽车,外资（欧美）,10000人以上,"['AMQP', 'MQTT', 'JMS', '周末双休', '五险一金', '年终奖金', '带薪年假', '定期体检', '补充医疗保险', '节日福利']"
it运维工程师,江苏集萃中科先进光电技术研究所有限公司,8千-1.2万·14薪,苏州,3年及以上,本科,电子技术/半导体/集成电路,民营,少于50人,"['计算机', '管理', '项目管理', '方案设计', '网络', 'it', '服务器', '防火墙', '交换机', '信息化', '五险一金', '带薪年假', '员工旅游', '年终奖金', '绩效奖金', '专业培训', '定期体检', '有餐补', '出差补贴']"
产品专家（SaaS方向）,松下信息系统（上海）有限公司,2-4万,无锡,5年及以上,,计算机软件,外资（非欧美）,150-500人,"['五险一金', '年终奖金', '专业培训', '员工旅游', '定期体检', '节日福利', '带薪年假', '周末双休', '补充医疗保险']"
it运维工程师,江苏集萃中科先进光电技术研究所有限公司,8千-1.2万·14薪,苏州,3年及以上,本科,仪器仪表/工业自动化,民营,少于50人,"['计算机', '项目管理', '方案设计', '网络', 'it', '服务器', '防火墙', '交换机', '信息化', '方案', '五险一金', '交通补贴', '餐饮补贴', '绩效奖金', '年终奖金', '股票期权', '弹性工作', '定期体检', '员工旅游', '专业培训']"
it运维工程师,苏州创鑫激光科技有限公司,1-1.5万,苏州,3年及以上,大专,电子技术/半导体/集成电路,民营,1000-5000人,"['计算机', 'erp', 'mes', '网络安全', 'ad', '交换机', '安防', 'ftp', '华为', 'bpm', '年终奖金', '绩效奖金', '专业培训', '免费班车', '免费食宿', '带薪年假', '五险一金']"
CRM高级工程师,宝时得科技(中国)有限公司,1.3-2万,苏州,5年及以上,本科,家具/家电/玩具/礼品,外资（非欧美）,1000-5000人,"['管理', '项目管理', '软件开发', 'it', '理工科', '系统开发', '英语可沟通', 'CRM', 'SaaS', '营销', '五险一金', '专业培训', '餐饮补贴', '员工旅游', '补充医疗保险', '免费班车', '周末双休', '员工公寓']"
IT工程师,苏州依利特科技有限公司,8千-1万,苏州,5年及以上,本科,仪器仪表/工业自动化,合资,少于50人,"['计算机', '采购', 'office', '网络', '安装', '服务器', '维护', '操作系统', '故障处理', '防火墙', '五险一金', '带薪年假', '专业培训', '定期体检', '有餐补', '出差补贴', '定期团建']"
流程COE,台铃科技股份有限公司,2.5-4万,无锡,5年及以上,本科,汽车,民营,5000-10000人,"['流程管理', '五险一金', '带薪年假', '年终奖金', '项目奖金', '定期体检']"
高级应用运维工程师,博众精工科技股份有限公司,1.3-1.8万·14薪,苏州,无需经验,本科,机械/设备/重工,民营,5000-10000人,"['erp', '接口开发', '鼎捷t100', '五险一金', '年终奖金', '员工旅游', '定期体检', '包吃包住', '节日福利']"
运维工程师,上海有舟众创空间管理有限公司,1.2-2万,苏州,3年及以上,大专,专业服务(咨询、人力资源、财会),民营,50-150人,"['linux', '维护', '技术方案', 'tcp', '网络安全', '防火墙', '交换机', '网络设备', 'centos', 'ip', '方案', '五险一金', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '出国机会', '定期体检', '弹性工作', '年终奖金']"
OA运维工程师(J10062),苏州苏纳光电有限公司,8千-1.5万,苏州,3年及以上,本科,电子技术/半导体/集成电路,民营,150-500人,"['oa', '系统二次开发', '系统集成', '五险一金', '年终奖金', '定期体检', '餐饮补贴', '员工旅游', '周末双休', '做五休二']"
ERP&MES系统管理员,耐而达精密工程（苏州）有限公司,1-1.5万·13薪,苏州,3年及以上,本科,机械/设备/重工,外资（非欧美）,50-150人,"['计算机', '办公软件', '数据分析', '需求分析', 'erp', 'word', '项目实施', '方案设计', 'powerpoint', '技术文档', '方案']"
IT/ Audio Visual Analyst II - Event Support,昆山杜克大学,8千-1万,昆山,2年及以上,本科,教育/培训/院校,外资（欧美）,150-500人,"['英文', '演艺技术支持', '数字投影仪', '扬声器系统', '麦克风', '数字混音控制', '照明控制台', 'DSP', '大型LED屏幕', '视频编解码器', '五险一金', '补充医疗保险', '免费班车', '专业培训', '定期体检']"
研发副总,维林光电（苏州）有限公司,30-50万/年,苏州,5年及以上,硕士,电子技术/半导体/集成电路,外资（欧美）,150-500人,"['项目管理', 'ppt', 'npi', '理工', '新产品开发', '时间管理', '市场计划', '客户支持', '报告', '口语交流', '五险一金', '年终奖金', '绩效奖金', '通讯补贴', '带薪年假', '节日福利', '交通补贴', '方案']"
IT,金德精密配件（苏州）有限公司,6千-1万,苏州,2年,大专,汽车,外资（非欧美）,500-1000人,"['it', '系统运维', '数据库维护', '数据库', '网络维护', '操作系统', '五险一金', '员工旅游', '年终奖金', '专业培训', '绩效奖金']"
IT交付工程师,苏州市盈田商业管理有限公司,1-1.5万,苏州,2年及以上,本科,租赁服务,民营,少于50人,"['计算机', 'java', 'mysql', 'oracle', '数据库', '测试', 'javascript', '维护', '电子信息', '物联网', '系统培训', '五险一金', '员工旅游', '餐饮补贴', '专业培训', '年终奖金', '定期体检', '过节费', '节日福利']"
IT工程师,苏州华纳精密模具有限公司,8千-1万·13薪,苏州,3-5年,大专,汽车,民营,150-500人,"['数据库', 'spring', 'linux', '项目管理', 'sql', 'windows', '网络', '服务器', '操作系统', '用户培训', '专业培训', '包吃', '节日福利', '加班补贴', '绩效奖金']"
系统运维主管（SAP）,苏州中来光伏新材股份有限公司,1.5-2万,常熟,5年及以上,本科,新能源,已上市,1000-5000人,"['java', '数据分析', 'sop', '项目管理', '开发', '需求调研', 'sap', '方案设计', '解决方案', '报表', '方案', '培训', '五险一金', '带薪年假', '年终奖金', '绩效奖金', '项目奖金', '专业培训', '出国机会', '定期体检', '通讯补贴', '交通补贴']"
实施项目经理,苏州瑞泰信息技术有限公司,1.2-1.8万·14薪,苏州,5-7年,本科,计算机软件,民营,500-1000人,"['医药行业', '方案设计', '用户培训', 'crm', '需求分析', '项目管理', 'pmp认证', '五险一金', '绩效奖金', '补充医疗保险', '定期体检']"
IT工程师,苏州领裕电子科技有限公司,8千-1.2万,苏州,3年及以上,本科,电子技术/半导体/集成电路,已上市,1000-5000人,"['计算机', '数据库', '调试', '自动化', '通信', '安装', '服务器', '网络安全', '故障处理', '网络设备', '五险一金', '专业培训', '餐饮补贴', '通讯补贴']"
IT技术支持,上海旌茂置业有限公司,1-1.2万,苏州,3年及以上,本科,房地产,国企,150-500人,"['金蝶', '软件', 'it', '服务器', '维护', 'oa系统', '明源', '电脑故障', 'it支持', '知识分享', '培训', '五险一金', '带薪年假', '年终奖金', '专业培训', '定期体检']"
it工程师,奥钢联伯乐焊接产品贸易（上海）有限公司,8千-1.4万·14薪,苏州,3年及以上,大专,机械/设备/重工,外资（欧美）,150-500人,"['网络管理', 'vlan', '预防性维护', '现场调查', '硬件系统', 'sccm', 'it运营', '无线覆盖', '桌面管理', '安全补丁', '五险一金', '节日福利', '带薪年假', '交通补贴', '补充医疗保险', '免费班车', '年终奖金']"
it技术支持技术员,广东中科经纬数据科技有限公司,1.2-1.8万·13薪,,无需经验,中技/中专,互联网/电子商务,民营,少于50人,"['培训', '计算机', '电脑', '打印机', '办公设备', '计算机软硬件', '网络系统', '技术支持', 'it项目', '技术支持维护', '五险一金', '补充公积金', '免费班车', '交通补贴', '专业培训', '通讯补贴', '餐饮补贴', '弹性工作']"
网路管理员,上海倍爱健康管理有限公司,8千-1.2万·14薪,苏州,3年及以上,大专,美容/保健,民营,150-500人,"['培训', 'erp', '安全', '安全检查', '网站', '安全管理制度', '安全员证书', '安全操作规程', 'it运维', '安全法律法规', '绩效奖金', '交通补贴', '五险一金', '全勤奖', '周末双休', '餐饮补贴', '通讯补贴', '节日福利', '带薪年假', '培训']"
LIMS系统管理员,暨明医药科技（苏州）有限公司,8千-1.3万,苏州,3年及以上,大专,制药/生物工程,外资（欧美）,50-150人,"['药学', '计算机', '审计', '医药行业', 'glp', 'cgmp', '计算机化系统', 'lims系统', '培训', '五险一金', '带薪年假', '年终奖金', '项目奖金', '定期体检', '有餐补', '免费工作餐', '通讯补贴', '交通补贴', '出差补贴']"
OA  Engineer (Weaver)/OA工程师（泛微）,立胜汽车科技（苏州）有限公司,1.2-1.8万,苏州,3年及以上,本科,汽车,外资（欧美）,500-1000人,"['泛微', 'Weaver', 'OA', '五险一金', '免费班车', '交通补贴', '定期体检', '年终奖金']"
it技术支持,苏州执牛耳网络科技有限公司,8千-1.2万,苏州,无需经验,,互联网/电子商务,民营,少于50人,"['网络', '五险一金', '补充医疗保险', '补充公积金']"
IT工程师,苏州异彩达复合材料有限公司,1-1.2万,昆山,3年及以上,大专,原材料和加工,合资,50-150人,"['u8', '机房', '监控设备', 'it运营', '计算机硬软件', '网络', '计算机', '安装', '调试', '信息系统', '五险一金', '节日福利', '全勤奖']"
MES售前工程师,苏州优众企业管理咨询有限公司,1.5-3万,苏州,无需经验,本科,计算机软件,民营,少于50人,"['需求分析', '解决方案', '技术交流', '客户信息收集', '标书撰写', '标书应答', '解决方案规划', '客户需求分析', '解决方案介绍', '五险一金']"
IT技术员,苏州和林微纳科技股份有限公司,6-8千,苏州,2年及以上,大专,电子技术/半导体/集成电路,已上市,150-500人,"['网络管理', '文案编辑', '信息系统', '维护', 'u8', 'OA', '钉钉', '周末双休', '五险一金']"
ERP运维专员,苏州双金实业有限公司,6千-1万,苏州,3年及以上,本科,原材料和加工,民营,50-150人,"['计算机', 'oracle', 'erp', '调试', 'sap', '维护', '系统安装', '运维管理', 'erp系统运维', 'erp系统优化', '五险一金', '专业培训']"
ERP专员,苏州晶拓半导体科技有限公司,8千-1.5万·14薪,苏州,2年及以上,大专,电子技术/半导体/集成电路,民营,50-150人,"['oracle', '项目管理', 'erp', '需求调研', 'crm', 'mes', 'pmp', 'scm', 'sql', 'server', '方案', '培训', '带薪年假', '带薪病假', '员工旅游', '五险一金', '年终奖金', '绩效奖金', '专业培训', '定期体检', '免费工作餐']"
IT专员,浙江海昇药业股份有限公司,12-18万/年,衢州,3年及以上,大专,制药/生物工程,民营,150-500人,"['培训', 'linux', 'sop', 'erp', '网络', '生命科学', 'it', '制药行业', 'mes', '操作系统', '培训', '五险一金', '带薪年假', '股票期权', '项目奖金', '绩效奖金', '包吃', '包住', '免费工作餐']"
IT Analyst,德塔颜色科技(苏州)有限公司,8-12万/年,苏州,3年及以上,大专,仪器仪表/工业自动化,外资（欧美）,50-150人,"['IT&Securit', 'Helpdesk', '五险一金', '补充医疗保险', '子女医疗保险', '带薪年假', '带薪病假', '员工旅游', '年终奖金', '专业培训', '定期体检']"
IT管理员,苏州天脉导热科技股份有限公司,5-8千,苏州,3年及以上,大专,电子技术/半导体/集成电路,民营,1000-5000人,"['计算机', '办公软件', '网络', '监控', '交换机', '五险一金', '年终奖金', '定期体检', '专业培训', '员工旅游', '节日福利', '带薪年假', '周末双休', '做五休二', '工作三餐', '其他丰富福利']"
IT工程师,昆山蒲公英智能科技有限公司,8千-1.3万·14薪,苏州,3-5年,大专,互联网/电子商务,民营,50-150人,"['计算机', '项目管理', 'erp', '需求调研', '异常处理', '金蝶', 'mysql数据库', '文档编写', '系统测试', '功能设计', '五险一金', '年终奖金', '定期体检', '周末双休', '带薪年假']"
"Business Analyst, IT ID181413",百特（中国）投资有限公司,2-2.9万,苏州,3年及以上,本科,金融/投资/证券,民营,,['eight']
One ERP PM-9 month Temp,阿法拉伐流体设备（昆山）有限公司,2-3万·15薪,昆山,5-7年,本科,机械/设备/重工,外资（欧美）,500-1000人,"['项目管理', '项目实施', '专业培训', '员工旅游', '周末双休', '免费班车']"
MES文员,苏州华尔达电子科技有限公司,4-6.5千,苏州,1年,中技/中专,电子技术/半导体/集成电路,民营,150-500人,"['办公软件', 'erp', 'mes', 'mes系统', 'wps', '人员设置', '数据处理', '年终奖金', '节日福利', '五险', '包吃', '单休']"
总部信息技术部--网络管理岗,东吴人寿保险股份有限公司,8千-1.6万,苏州,1年及以上,本科,保险,国企,1000-5000人,"['交换机', '网络设备', '华为', '网络规划', '网络故障', 'ospf', 'h3c', 'ccnp', '思科', 'bgp']"
it技术支持,上海京罡进出口贸易有限公司,5千-1万·13薪,苏州,3-5年,大专,计算机软件,民营,500-1000人,"['计算机', 'mysql', '办公软件', '数据库', 'sql', '调试', 'windows', '网络', 'it', '维护', '年终奖金', '定期体检', '专业培训', '餐饮补贴', '员工旅游', '通讯补贴', '节日福利', '带薪年假', '补充医疗保险', '免费班车', '股票期权', '五险', '全勤奖', '租房补贴', '定期团建']"
IT软件开发工程师,苏州朗威电子机械股份有限公司,1-1.5万,苏州,3-4年,大专,通信/电信/网络设备,民营,500-1000人,"['mes', 'erp', 'oa', '信息化', '管理维护', '服务器', '数据库', '计算机', '二次开发', '数据分析优化', '五险一金', '出国机会', '绩效奖金']"
IT运维工程师 IT Operations Engineer (MJ006227),嘉士伯中国,1-1.2万,常州,3年及以上,本科,快速消费品(食品、饮料、化妆品),外资（欧美）,1000-5000人,"['二维码', '平台运维管理', 'BCRM', 'SCRM', '供应商云平台', '五险一金', '年终奖金', '定期体检', '带薪年假', '周末双休', '补充医疗保险', '五险']"
H24C_T03-数字化实施专家（华东）,苏州慧工云信息科技有限公司,1.1-2.2万·14薪,苏州,2年及以上,本科,计算机软件,民营,150-500人,"['培训', '管理', '数据分析', '测试', '项目管理', 'erp', '咨询', '理工科', 'mes', '系统开发', '下午茶', '五险一金', '奖金', '周末双休', '员工聚餐', '年度体检', '年度旅游', '晋升', '免费零食', '节假日休', '法定节假', '培训', '生日会', '补充医疗保险', '专业培训']"
mes系统开发工程师,苏州赛伍应用技术股份有限公司,1.5-2万,苏州,3年及以上,本科,石油/化工/矿产/地质,已上市,500-1000人,"['java', '英语', '软件开发', 'c#', 'mes', '编程语言', 'mes系统', '计算机科学', '信息技术', '产品质量']"
IT技术支持,苏州海特自动化设备有限公司,6千-1万·13薪,苏州,1年,本科,计算机硬件,民营,150-500人,"['linux', 'erp', 'windows', '网络安全', '系统维护', '打印机', '办公设备', '故障排除', '计算机科学', '信息技术', '培训', '五险一金', '补充医疗保险', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检', '节假日福利']"
IT（运维）,苏州恒久光电科技股份有限公司,7千-1万·13薪,苏州,3-4年,大专,电子技术/半导体/集成电路,已上市,500-1000人,"['计算机', '服务器', '信息系统', '网络设备', '网络协议', '交换机', '网络故障', '网络布线', '安装维护', 'tcp/ip协议', '五险一金', '年终奖金', '绩效奖金', '定期体检', '专业培训', '员工旅游', '通讯补贴', '节日福利', '周末双休', '全勤奖']"
ERP专员,苏州海鑫精密电子科技有限公司,8千-1.3万,常熟,5年及以上,大专,电子技术/半导体/集成电路,民营,500-1000人,"['电脑', '服务器', '实施管理', '机房', 'erp维护', '软件管理', '五险一金', '带薪年假', '包吃', '包住']"
it运维工程师,苏州西典新能源电气股份有限公司,7-8千,苏州,1年及以上,大专,机械/设备/重工,已上市,1000-5000人,"['cad', '调试', 'mysql数据库', '网络', '安装', '技术文档', '网络维护', '系统维护', '打印机', '故障排除', '培训', '五险一金', '年终奖金', '专业培训', '股票期权', '提供工作餐']"
IT技术支持,苏州宝馨智能制造有限公司,6千-1万,苏州,1年及以上,大专,机械/设备/重工,已上市,500-1000人,"['linux', 'erp', '异常处理', 'windows', '服务器', '故障处理', 'ad', '系统运维', '安装维护', 'it资产管理', '五险一金', '补充医疗保险', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检']"
it工程师,苏州万丽织造有限公司,8千-1.2万,苏州,无需经验,本科,服装/纺织/皮革,民营,10000人以上,"['计算机', '管理', '运维', 'it', '服务器', '网络设备', '优化方案', 'vpn', '使用培训', 'it资产管理', '培训', '班车', '方案', '免费食宿']"
OA/ERP运维开发,晋泰科技（上海）有限公司,6-8千,苏州,1年及以上,大专,计算机软件,外资（非欧美）,50-150人,"['erp', 'oa', 'java', 'asp.net', 'oracle数据库', '运维', '数据库', 'sql', '维护', '项目开发', '五险一金', '年终奖金', '周末双休', '带薪年假', '入职培训', '年度体检', '培训', '八小时', '员工生日']"
MES工程师,上汽时代动力电池系统有限公司,18-30万/年,上海,3年及以上,本科,新能源,合资,150-500人,"['MES', 'WMS', 'JAVA开发', '设备集成', '餐饮补贴', '带薪年假', '六险一金', '双休']"
IT系统工程师 (MJ000223),江苏欣诺科催化剂股份有限公司,8千-1.2万·13薪,苏州,无需经验,本科,制药/生物工程,民营,150-500人,"['培训', '计算机', 'erp', '运维', '功能开发', '数据库维护', '测试上线', '项目总结', 'helpdesk', '业务系统', '培训']"
