职位,公司名称,薪资范围,城市,经验要求,学历要求,领域,公司性质,规模,标签
IT技术支持,上海厚翔实业有限公司,1.4-1.8万·13薪,苏州,3年及以上,高中,计算机硬件,民营,150-500人,"['IT网络工程师', '五险一金', '补充医疗保险', '通讯补贴', '餐饮补贴', '交通补贴', '年终奖金', '绩效奖金', '专业培训', '定期体检', '企业年金']"
服务器测试工程师,紫光云数科技有限公司,1-1.5万,杭州,5年及以上,大专,计算机软件,国企,1000-5000人,"['整机测试', '五险一金', '年终奖金', '定期体检', '绩效奖金', '节日福利']"
H24C_T03-数字化实施专家（华东）,苏州慧工云信息科技有限公司,1.1-2.2万·14薪,苏州,2年及以上,本科,计算机软件,民营,150-500人,"['培训', '管理', '数据分析', '测试', '项目管理', 'erp', '咨询', '理工科', 'mes', '系统开发', '下午茶', '五险一金', '奖金', '周末双休', '员工聚餐', '年度体检', '年度旅游', '晋升', '免费零食', '节假日休', '法定节假', '培训', '生日会', '补充医疗保险', '专业培训']"
H24C_T03-数字化实施专家（华东）,苏州慧工云信息科技有限公司,1.1-2.2万·14薪,苏州,2年及以上,本科,计算机软件,民营,150-500人,"['培训', '管理', '数据分析', '测试', '项目管理', 'erp', '咨询', '理工科', 'mes', '系统开发', '下午茶', '五险一金', '奖金', '周末双休', '员工聚餐', '年度体检', '年度旅游', '晋升', '免费零食', '节假日休', '法定节假', '培训', '生日会', '补充医疗保险', '专业培训']"
it技术支持,诺博汽车科技有限公司,7-9千·15薪,苏州,5年及以上,本科,汽车零配件,民营,500-1000人,"['电脑', '盘点', '供应商管理', 'it', '维护', '操作系统', 'office软件', '打印机', '投影仪', '笔记本']"
内江国企/月均6500/五险一金,中国太平洋财产保险股份有限公司保定中心支公司,8千-1.2万,苏州,无需经验,中技/中专,保险,国企,,"['车险咨询', '投保', '售后电话回访', '电话回访', '电网销', '五险一金', '补充医疗保险', '餐饮补贴', '年终奖金', '专业培训', '定期体检']"
信息岗,华润置地商业地产苏州吴江万象汇,6-9千,昆山,1年及以上,本科,房地产,国企,150-500人,"['数据库', 'linux', 'sql', 'windows', '运维', '数据采集', '协调', '报表制作', '五险一金', '餐饮补贴']"
Program Specialist (高管教育&终身学习),昆山杜克大学,1.2-1.5万,昆山,5年及以上,本科,教育/培训/院校,外资（欧美）,150-500人,"['项目专员', '项目交付', '费用跟踪', '销售支持', '会议协调', '项目运营', '预算管理', '行政', '客服服务', '英文']"
Coordinator for Academic Success,昆山杜克大学,8千-1万,昆山,2-3年,硕士,教育/培训/院校,外资（欧美）,150-500人,"['学习辅导', 'coaching', '学生支持', '学习策略', '学生管理', 'tutoring', '高等教育', '英文', '大学']"
Coordinator for the Innovation Hub,昆山杜克大学,1-1.2万,昆山,2-3年,本科,教育/培训/院校,外资（欧美）,150-500人,"['数字制造', '实验室安全', '创客空间', 'MakerSpace', 'Lab运营管理', '工业设计', '电子工程', '机械工程', '硬件产品经理', '高等教育', '五险一金', '补充医疗保险', '免费班车', '专业培训', '定期体检']"
2025届校园招聘-信息技术岗,江苏国泰汉帛实业发展有限公司,15-18万/年,张家港,在校生/应届生,本科,贸易/进出口,国企,500-1000人,"['计算机', '项目管理', '英语六级', '信息系统', '软件技术', '软件系统开发', '带薪年假', '五险一金', '高温补贴', '节日福利', '餐饮补贴', '通讯补贴', '免费班车', '专业培训', '交通补贴', '住房补贴']"
IT总监,常熟通润汽车零部件股份有限公司,2.5-3万,常熟,10年及以上,本科,机械/设备/重工,合资,1000-5000人,"['运维', '网络设备', '技术对接', '办公网络', '工业交换机', '智能制造', '数据中心', '5g网络', '网络架构设计', '智能化改造', '培训', '方案', '五险一金', '餐饮补贴', '绩效奖金', '出国机会']"
Team Lead IT-Consulting,普安华信息技术咨询（太仓）有限公司,15-25万/年,太仓,7年及以上,本科,计算机软件,外资（欧美）,少于50人,"['五险一金', '年终奖金', '绩效奖金', '双休', '带薪年假', '专业培训', '定期体检', '零食下午茶']"
产品规划经理,天顺风能（苏州）股份有限公司,2-2.3万·15薪,太仓,5年及以上,本科,机械/设备/重工,已上市,1000-5000人,"['五险一金', '年终奖金', '定期体检', '餐饮补贴', '通讯补贴', '带薪年假', '周末双休']"
